address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
309 W 30th St APT 3E,New York,NY,10001,2800/000000,NA,0.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/309-W-30th-St-APT-3E-New-York-NY-10001/2126925304_zpid/
NA,NA,NA,NA,033151402026005,NA,NA,NA,NA,777 6th Avenue,NA
NA,NA,NA,NA,027461387525546,NA,NA,NA,NA,For Rent,NA
284 5th Ave # 3B,New York,NY,10001,2595/000000,531.0,0.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/284-5th-Ave-3B-New-York-NY-10001/98975653_zpid/
NA,NA,NA,NA,033331428526990,NA,NA,NA,NA,800 Sixth,NA
NA,NA,NA,NA,038151476527250,NA,NA,NA,NA,Beatrice,NA
NA,NA,NA,NA,028851354025865,NA,NA,NA,NA,AVA High Line,NA
448 7th Ave # 4,New York,NY,10001,2700/000000,1000.0,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/448-7th-Ave-4-New-York-NY-10001/2091341541_zpid/
NA,NA,NA,NA,030551363027155,NA,NA,NA,NA,Avalon West Chelsea,NA
NA,NA,NA,NA,0290025800,NA,NA,NA,NA,Chelsea Towers,NA
NA,NA,NA,NA,03557141102758139686,NA,NA,NA,NA,The Eugene,NA
NA,NA,NA,NA,0365514495,NA,NA,NA,NA,For Rent,NA
1182 Broadway APT 8B,New York,NY,10001,6499/000000,975.0,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/1182-Broadway-APT-8B-New-York-NY-10001/2091359953_zpid/
NA,NA,NA,NA,032501433326510,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,035571391726978,NA,NA,NA,NA,For Rent,NA
540 W 28th St APT 8E,New York,NY,10001,4750/000000,776.0,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/540-W-28th-St-APT-8E-New-York-NY-10001/112089031_zpid/
NA,NA,NA,NA,24099,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,1509528495313070,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,03050130952395038575,NA,NA,NA,NA,For Rent,NA
885 6th Ave APT 20G,New York,NY,10001,3872/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/885-6th-Ave-APT-20G-New-York-NY-10001/2091396272_zpid/
(Undisclosed Address),New York,NY,10001,4350/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/(Undisclosed-Address)-New-York-NY-10001/2113887192_zpid/
NA,NA,NA,NA,0332313646,NA,NA,NA,NA,The Epic,NA
143 W 30th St APT 5A,New York,NY,10001,3300/000000,643.0,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/143-W-30th-St-APT-5A-New-York-NY-10001/121187093_zpid/
NA,NA,NA,NA,0225012800,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,1355024350,NA,NA,NA,NA,For Rent,NA
334 9th Ave APT 4R,New York,NY,10001,2995/000000,NA,1.0,1.5,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/334-9th-Ave-APT-4R-New-York-NY-10001/2105500836_zpid/
440 W 34th St APT 15F,New York,NY,10001,2400/000000,NA,0.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/440-W-34th-St-APT-15F-New-York-NY-10001/2115334157_zpid/
455 W 34th St APT 2D,New York,NY,10001,2050/000000,NA,0.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/455-W-34th-St-APT-2D-New-York-NY-10001/2115351015_zpid/
NA,NA,NA,NA,0320014010,NA,NA,NA,NA,For Rent,NA
W 26th St,New York,NY,10001,6395/000000,NA,2.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/W-26th-St-New-York-NY-10001/2091483940_zpid/
252 7th Ave APT 5Q,New York,NY,10001,8300/000000,1563.0,2.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/252-7th-Ave-APT-5Q-New-York-NY-10001/55501414_zpid/
148 W 28th St APT 5W,New York,NY,10001,9425/000000,2000.0,3.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/148-W-28th-St-APT-5W-New-York-NY-10001/2113445469_zpid/
146 W 28th St APT 4E,New York,NY,10001,8575/000000,2000.0,3.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/146-W-28th-St-APT-4E-New-York-NY-10001/2101944523_zpid/
NA,NA,NA,NA,23200,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,1435024350,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,038901421326207,NA,NA,NA,NA,For Rent,NA
330 8th Ave APT 4C,New York,NY,10001,3000/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/330-8th-Ave-APT-4C-New-York-NY-10001/2124688083_zpid/
NA,NA,NA,NA,1293324440,NA,NA,NA,NA,For Rent,NA
374 8th Ave # TOP,New York,NY,10001,2900/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/374-8th-Ave-TOP-New-York-NY-10001/2107336724_zpid/
NA,NA,NA,NA,0265224795,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,029351399525810,NA,NA,NA,NA,For Rent,NA
401 W 25th St APT 12G,New York,NY,10001,3945/000000,898.0,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/401-W-25th-St-APT-12G-New-York-NY-10001/2091564289_zpid/
NA,NA,NA,NA,1313025310,NA,NA,NA,NA,For Rent,NA
500 W 30th St APT 8D,New York,NY,10001,5450/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/500-W-30th-St-APT-8D-New-York-NY-10001/2091579685_zpid/
(Undisclosed Address),New York,NY,10001,3795/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/(Undisclosed-Address)-New-York-NY-10001/2114373831_zpid/
345 W 30th St APT 6B,New York,NY,10001,2808/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/345-W-30th-St-APT-6B-New-York-NY-10001/2105677798_zpid/
245 W 25th St APT 4E,New York,NY,10001,7900/000000,900.0,2.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/245-W-25th-St-APT-4E-New-York-NY-10001/2115045582_zpid/
430 W 34th St APT 5J,New York,NY,10001,2200/000000,NA,0.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/430-W-34th-St-APT-5J-New-York-NY-10001/2104394735_zpid/
NA,NA,NA,NA,0275713412,NA,NA,NA,NA,Magellan The,NA
420 W 25th St APT 6K,New York,NY,10001,4000/000000,830.0,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/420-W-25th-St-APT-6K-New-York-NY-10001/89336098_zpid/
334 9th Ave APT 4R,New York,NY,10001,2995/000000,NA,1.0,1.5,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/334-9th-Ave-APT-4R-New-York-NY-10001/2105500836_zpid/
440 W 34th St APT 15F,New York,NY,10001,2400/000000,NA,0.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/440-W-34th-St-APT-15F-New-York-NY-10001/2115334157_zpid/
455 W 34th St APT 2D,New York,NY,10001,2050/000000,NA,0.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/455-W-34th-St-APT-2D-New-York-NY-10001/2115351015_zpid/
NA,NA,NA,NA,0320014010,NA,NA,NA,NA,For Rent,NA
W 26th St,New York,NY,10001,6395/000000,NA,2.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/W-26th-St-New-York-NY-10001/2091483940_zpid/
252 7th Ave APT 5Q,New York,NY,10001,8300/000000,1563.0,2.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/252-7th-Ave-APT-5Q-New-York-NY-10001/55501414_zpid/
148 W 28th St APT 5W,New York,NY,10001,9425/000000,2000.0,3.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/148-W-28th-St-APT-5W-New-York-NY-10001/2113445469_zpid/
146 W 28th St APT 4E,New York,NY,10001,8575/000000,2000.0,3.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/146-W-28th-St-APT-4E-New-York-NY-10001/2101944523_zpid/
NA,NA,NA,NA,23200,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,1435024350,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,038901421326207,NA,NA,NA,NA,For Rent,NA
330 8th Ave APT 4C,New York,NY,10001,3000/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/330-8th-Ave-APT-4C-New-York-NY-10001/2124688083_zpid/
NA,NA,NA,NA,1293324440,NA,NA,NA,NA,For Rent,NA
374 8th Ave # TOP,New York,NY,10001,2900/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/374-8th-Ave-TOP-New-York-NY-10001/2107336724_zpid/
NA,NA,NA,NA,0265224795,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,029351399525810,NA,NA,NA,NA,For Rent,NA
401 W 25th St APT 12G,New York,NY,10001,3945/000000,898.0,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/401-W-25th-St-APT-12G-New-York-NY-10001/2091564289_zpid/
NA,NA,NA,NA,1313025310,NA,NA,NA,NA,For Rent,NA
500 W 30th St APT 8D,New York,NY,10001,5450/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/500-W-30th-St-APT-8D-New-York-NY-10001/2091579685_zpid/
